UNITID,UGDS,ADM_RATE
155858,1700,NULL
155900,1168,0.9215
155937,624,0.3737
155973,642,0.5594
156082,4967,NULL
156107,1942,NULL
156125,11030,0.8623
156134,747,NULL
156189,605,0.2219
156213,1498,0.696
156222,NULL,NULL
156231,2228,NULL
156277,64,NULL
156286,2569,0.8245
156295,1612,0.328
156310,201,NULL
156338,3128,NULL
156356,956,0.4677
156365,2224,0.6979
156392,8318,NULL
156408,1422,0.7426
156417,117,NULL
156426,232,NULL
156471,1334,NULL
156541,1935,0.7087
156620,13127,0.8633
156648,4541,NULL
156727,NULL,NULL
156745,986,0.6612
156754,40,NULL
156790,1861,NULL
156842,184,NULL
156851,1117,NULL
156860,2376,NULL
156921,9284,NULL
156967,72,NULL
157021,675,NULL
157030,81,0.5763
157058,1287,0.49
157076,686,0.5722
157085,22244,0.9079
157100,471,0.388
157207,NULL,NULL
157216,2038,NULL
157270,354,1
157289,15033,0.7257
157298,NULL,NULL
157304,2129,NULL
157331,2604,NULL
157377,993,0.6032
157386,6647,0.8556
157401,7655,0.8535
157438,3328,NULL
157447,11033,0.9109
157465,71,NULL
157483,3787,NULL
157535,1150,1
157553,2835,NULL
157599,405,NULL
157614,102,NULL
157650,121,NULL
157669,92,NULL
157678,94,NULL
157711,4633,NULL
157739,2130,NULL
157757,1142,0.503
157766,392,NULL
157793,2296,NULL
157809,1406,0.8909
157818,960,0.9482
157827,54,NULL
157863,912,0.6749
157951,14956,0.9402
158088,1450,NULL
158246,191,NULL
158325,68,NULL
158343,58,NULL
158352,1194,NULL
158431,5893,NULL
158440,76,NULL
158477,478,0.6422
158538,40,NULL
158617,393,NULL
158644,61,NULL
158662,14355,NULL
158723,138,NULL
158778,44,NULL
158787,79,NULL
158802,1261,0.394
158884,1496,NULL
159009,3882,0.4514
159027,26,NULL
159197,593,NULL
159319,22,NULL
159328,54,NULL
159373,873,NULL
159382,2579,0.3332
159391,24365,0.7639
159407,2397,NULL
159416,2199,0.8857
159513,146,NULL
159522,149,NULL
159531,44,NULL
159568,868,0.7219
159601,14,NULL
159647,8009,0.6319
